id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019ddd85-8ed0-782c-81b9-2eb9a4d558b3,"Awino Hassan",female,0.66,68,senior,TZ,"Tanzania",0.6,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71f8-87cf-4ca8936a3399,"Mercy Agyei",female,0.79,9,child,NG,"Nigeria",0.11,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72f9-b170-565aaf0e6253,"Hassan Girma",male,0.85,37,adult,UG,"Uganda",0.38,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7d8d-9c15-5dfe56285604,"Nabil Saidi",male,0.8,80,senior,SD,"Sudan",0.49,2026-04-30T08:33:30.832Z
019ddd85-8ed0-70ef-b09e-481ffe46f854,"Kimberly Scott",female,0.9,5,child,US,"United States",0.34,2026-04-30T08:33:30.832Z
019ddd85-8ed0-79a9-b717-8bbc30b8b9ad,"Nandi Girma",female,0.8,57,adult,MG,"Madagascar",0.4,2026-04-30T08:33:30.832Z
019ddd85-8ed0-737f-838f-6b0e099bd5cd,"John Adams",male,0.98,37,adult,GB,"United Kingdom",0.52,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7b58-961f-2c42798cf062,"Elizabeth Harris",female,0.77,32,adult,IN,"India",0.11,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7809-8922-4b8c07fd25ad,"Anne Kasavubu",female,0.88,43,adult,CM,"Cameroon",0.29,2026-04-30T08:33:30.832Z
019ddd85-8ed0-743a-b479-1b488d932d6c,"Yaa Adomou",female,0.78,50,adult,CV,"Cape Verde",0.28,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71d4-aade-edc4f4fae1ea,"Miséricorde Eyeghe",female,0.88,45,adult,CG,"Republic of the Congo",0.36,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7c28-958e-c1f4c67a52be,"Odhiambo Kamau",male,0.7,64,senior,MZ,"Mozambique",0.48,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7fa2-9be6-2d7b4d64930a,"Zanele Moyo",female,0.9,58,adult,ZA,"South Africa",0.6,2026-04-30T08:33:30.832Z
019ddd85-8ed0-75fc-8864-c02aa53348ea,"Paul Sidibé",male,0.75,40,adult,ML,"Mali",0.23,2026-04-30T08:33:30.832Z
019ddd85-8ed0-79d5-88e3-12772d25198c,"Tafadzwa Cele",male,0.92,37,adult,ZA,"South Africa",0.5,2026-04-30T08:33:30.832Z
019ddd85-8ed0-75e7-8a8b-9868412dcab0,"Tanaka Khumalo",male,0.9,24,adult,ZA,"South Africa",0.5,2026-04-30T08:33:30.832Z
019ddd85-8ed0-754a-9a34-f132a636ad3e,"Thandiwe Dube",female,0.81,15,teenager,AO,"Angola",0.52,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7a12-a161-0ccea2ca90b5,"Tendai Mwangi",male,0.75,6,child,TZ,"Tanzania",0.4,2026-04-30T08:33:30.832Z
019ddd85-8ed0-76b2-b83f-297d2073636e,"Susan Edwards",female,0.83,54,adult,IN,"India",0.42,2026-04-30T08:33:30.832Z
019ddd85-8ed0-786f-b2f4-d3e266b274a2,"Véronique Mukendi",female,0.77,55,adult,CD,"DR Congo",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7834-94a3-b4f9990e03b0,"Kevin King",male,0.68,35,adult,FR,"France",0.62,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7a54-8e9f-270e86cb433c,"Zanele Mnguni",female,0.68,30,adult,KE,"Kenya",0.85,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7666-af5c-d8d76243873b,"Tadesse Achieng",male,0.83,34,adult,UG,"Uganda",0.49,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7142-9190-f9516ab8134a,"Rakiya Otieno",female,0.97,14,teenager,KE,"Kenya",0.38,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71b3-9734-8f2c0be937d8,"Mazvita Ndebele",female,0.76,50,adult,ZM,"Zambia",0.91,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72f4-aefc-3f4bcbe5e5dd,"Carol Green",female,0.81,55,adult,GB,"United Kingdom",0.65,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7409-938b-4f263964cb8b,"Kagiso Mohamed",male,0.98,7,child,ER,"Eritrea",0.43,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71cb-b89a-acf1baa3f22b,"Nomsa Ouma",female,0.94,42,adult,UG,"Uganda",0.31,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7ff2-99b2-96a050027554,"Sadiya Awino",female,0.7,17,teenager,TZ,"Tanzania",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7055-aa0d-0dacfcc6fd86,"Fortuné Mboumba",male,0.95,17,teenager,GA,"Gabon",0.53,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7449-a5b8-532f67bb835c,"Ayasha Kamau",female,0.82,46,adult,RW,"Rwanda",0.68,2026-04-30T08:33:30.832Z
019ddd85-8ed0-75fb-acb2-36db97a730be,"Adaeze Coulibaly",female,0.73,41,adult,NG,"Nigeria",0.6,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7500-a996-9ff92fe38b4c,"Adhiambo Mnguni",female,0.79,83,senior,KE,"Kenya",0.47,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7a48-a860-21ecfed2dbde,"Maame Kaboré",female,0.8,56,adult,SN,"Senegal",0.29,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7e08-86c0-0dcc0caaea11,"Rumbidzai Mnguni",female,0.96,32,adult,NA,"Namibia",0.26,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7f4b-9c08-e1fca234852d,"Généreuse Mboumba",female,0.71,40,adult,CD,"DR Congo",0.39,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7d47-b86e-a69e6dfbe11f,"Bayo Ouédraogo",male,0.99,27,adult,NG,"Nigeria",0.81,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7fb2-b41d-568d4918c97a,"Joseph Scott",male,0.83,83,senior,GB,"United Kingdom",0.22,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7633-9c10-3745dbb8a61e,"Laila Saidi",female,0.66,52,adult,SD,"Sudan",0.57,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72d4-bb28-367a45838a28,"Sipho Mnguni",male,0.75,60,senior,KE,"Kenya",0.35,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7677-8d55-70e318a02cbb,"Esi Sawadogo",female,0.68,46,adult,GM,"Gambia",0.18,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7db3-b362-9cff6ae9884e,"Kunle Gbessi",male,0.84,61,senior,CI,"Côte d'Ivoire",0.72,2026-04-30T08:33:30.832Z
019ddd85-8ed0-79c1-9f25-bb73a8fdc91d,"Nour Rachidi",female,0.78,32,adult,SD,"Sudan",0.56,2026-04-30T08:33:30.832Z
019ddd85-8ed0-75d5-b088-64c0317ed484,"Tesfaye Ahmed",male,0.89,58,adult,MZ,"Mozambique",0.88,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7b7d-9ff4-14104257965e,"Aster Getachew",female,0.75,41,adult,ET,"Ethiopia",0.85,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7164-9932-e1a96a21760b,"Bilkisu Abebe",female,0.65,24,adult,TZ,"Tanzania",0.94,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7345-9eae-21c40c177a3d,"Walid Hajji",male,0.71,29,adult,MA,"Morocco",0.51,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71cf-9b40-6a30af2680f3,"Zodwa Bekele",female,0.81,36,adult,MW,"Malawi",0.95,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7736-a77f-cd1466a640fb,"Andrew Thomas",male,0.66,28,adult,BR,"Brazil",0.49,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7814-89e1-6ac139d39f23,"Kunle Zinsou",male,0.73,10,child,ML,"Mali",0.94,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7020-b8e8-314f0afe0ca6,"Maryam Odhiambo",female,0.67,18,teenager,TZ,"Tanzania",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7c4c-a09b-15a738428dfe,"Ikram Benali",female,0.69,50,adult,TN,"Tunisia",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7e88-a369-c41fe733fc81,"James Allen",male,0.83,14,teenager,FR,"France",0.9,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72b0-9de9-19ca9a6f6012,"Abdi Getachew",male,0.75,74,senior,KE,"Kenya",0.21,2026-04-30T08:33:30.832Z
019ddd85-8ed0-73ee-bb0f-8cc399e4f9a3,"Bongiwe Moyo",female,0.88,56,adult,ZA,"South Africa",0.21,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7b2b-826a-231b201e32c1,"Thandeka Kamau",female,0.87,49,adult,SO,"Somalia",0.93,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7c17-ab35-053400b62e9a,"Rokhaya Konaté",female,0.76,17,teenager,NG,"Nigeria",0.53,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7da7-aecb-b27602162cc4,"Nandi Mnguni",female,0.7,28,adult,NA,"Namibia",0.59,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7251-b38f-843b0b6e29d6,"Michael Campbell",male,0.65,58,adult,US,"United States",0.28,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7328-b5ef-8f293e8b2b6c,"Hamza Amrani",male,0.87,47,adult,TN,"Tunisia",0.86,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7d61-afad-26c502a23dba,"Assata Touré",female,0.83,29,adult,GH,"Ghana",0.27,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7684-aa4b-cbd158c20540,"Richard Torres",male,0.87,56,adult,US,"United States",0.79,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7c7d-90f3-db26fc6c4054,"Nokwanda Mpofu",female,0.7,38,adult,ZW,"Zimbabwe",0.49,2026-04-30T08:33:30.832Z
019ddd85-8ed0-789c-9e99-4b2d867e4078,"Aya Khatib",female,0.66,49,adult,EG,"Egypt",0.77,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7f1e-93e6-e1a2124123b5,"Cheikh Bah",male,0.92,27,adult,GH,"Ghana",0.56,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7ab3-a744-724683b1582a,"Akua Konaté",female,0.9,77,senior,BJ,"Benin",0.72,2026-04-30T08:33:30.832Z
019ddd85-8ed0-73a3-83dd-45b88b41fd1c,"Jacques Obiang",male,0.83,88,senior,CD,"DR Congo",0.88,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7143-9769-f36f45b9212a,"Chisom Okonkwo",female,0.81,29,adult,EH,"Western Sahara",0.1,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7f06-ab8d-2377e03d3234,"Sandra Parker",female,0.7,54,adult,US,"United States",0.88,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7689-a610-13fb4606f545,"Laura Thomas",female,0.79,35,adult,AU,"Australia",0.6,2026-04-30T08:33:30.832Z
019ddd85-8ed0-762a-ad7e-201eb051abfe,"Patient Bongo",male,0.84,57,adult,CD,"DR Congo",0.66,2026-04-30T08:33:30.832Z
019ddd85-8ed0-702e-8cb0-8ebd9e8dab23,"Younes Amrani",male,0.71,37,adult,MA,"Morocco",0.19,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7746-a94d-c18a09e352b7,"Kenneth Jackson",male,0.72,48,adult,GB,"United Kingdom",0.65,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7dd2-ac0b-39d122f893de,"Wangari Khumalo",female,0.76,85,senior,ET,"Ethiopia",0.55,2026-04-30T08:33:30.832Z
019ddd85-8ed0-77c8-ae2a-0a985599c834,"Ndéye Agyei",female,0.91,66,senior,SN,"Senegal",0.72,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7b49-93e3-d9feb7ab0e2e,"Karen Allen",female,0.8,90,senior,GB,"United Kingdom",0.37,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7a1f-ac6c-9eb1a4927e48,"Munashe Mthembu",male,0.96,45,adult,ZM,"Zambia",0.26,2026-04-30T08:33:30.832Z
019ddd85-8ed0-73ed-a60e-a859f595bd53,"David Flores",male,0.72,25,adult,US,"United States",0.21,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72a6-97fb-20b4bcd586d7,"René Kalonji",male,0.95,81,senior,CD,"DR Congo",0.25,2026-04-30T08:33:30.832Z
019ddd85-8ed0-76de-b49c-299ac12a9e95,"Mengistu Mengistu",male,0.75,43,adult,UG,"Uganda",0.56,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7381-bb18-bf940410c426,"Andrew Anderson",male,0.71,5,child,AU,"Australia",0.11,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7636-93f1-a0f8d7003a46,"George Garcia",male,0.68,78,senior,CN,"China",0.36,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7762-b477-a4ac4ede0d26,"Thandeka Dlamini",female,0.91,5,child,BW,"Botswana",0.6,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7cf2-ac64-4213e70db334,"Mumbi Masondo",female,0.96,57,adult,KE,"Kenya",0.44,2026-04-30T08:33:30.832Z
019ddd85-8ed0-76be-b7ce-7fefa0a234c4,"Elizabeth Perez",female,0.87,47,adult,FR,"France",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-70e9-82fd-9b5cc0a40b18,"Hassan Lamrani",male,0.72,51,adult,EG,"Egypt",0.93,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7de3-8742-b75fcc7105ea,"Amina Ndlovu",female,0.79,55,adult,MG,"Madagascar",0.23,2026-04-30T08:33:30.832Z
019ddd85-8ed0-71e5-b101-1fb5783170b3,"Yaa Tapsoba",female,0.74,22,adult,GH,"Ghana",0.34,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7c89-993a-21d40449706f,"Mekdes Tadesse",female,0.97,20,adult,MZ,"Mozambique",0.55,2026-04-30T08:33:30.832Z
019ddd85-8ed0-70ff-9380-cc31e97c91a0,"Ismail Eze",male,0.78,62,senior,BJ,"Benin",0.57,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7613-a85a-cf0833d16a23,"Théodore Keïta",male,0.91,9,child,GH,"Ghana",0.38,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7a20-af76-c212768bf2d5,"Laura Mitchell",female,0.97,26,adult,CA,"Canada",0.5,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7edf-85cc-c03c15562a28,"Awino Jama",female,0.91,19,teenager,KE,"Kenya",0.49,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7cdf-ac90-71d2e2f15429,"Akosua Darko",female,0.7,72,senior,NG,"Nigeria",0.72,2026-04-30T08:33:30.832Z
019ddd85-8ed0-72a3-9ca2-897ce9318253,"Assata Kaboré",female,0.9,14,teenager,LR,"Liberia",0.58,2026-04-30T08:33:30.832Z
019ddd85-8ed0-700a-b005-748f43f90c84,"Christopher Nguyen",male,0.85,16,teenager,US,"United States",0.69,2026-04-30T08:33:30.832Z
019ddd85-8ed0-75ce-a43e-427eeee384f1,"Didier Lokossou",male,0.87,23,adult,BJ,"Benin",0.46,2026-04-30T08:33:30.832Z
019ddd85-8ed0-737b-8ef3-5e3fec7b1806,"Gary Hill",male,0.96,48,adult,GB,"United Kingdom",0.78,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7df3-a8eb-89dcf48e63e2,"Paul Bongo",male,0.79,57,adult,CM,"Cameroon",0.24,2026-04-30T08:33:30.832Z
019ddd85-8ed0-7645-84aa-9238a1487275,"Waweru Alemu",male,0.85,66,senior,ER,"Eritrea",0.25,2026-04-30T08:33:30.832Z
019ddd85-8ed1-7b7e-85ac-a2369d13cd0d,"Kimberly Hill",female,0.82,21,adult,US,"United States",0.29,2026-04-30T08:33:30.833Z
019ddd85-8ed1-77c6-8d92-d0c94070a255,"Nompumelelo Bekele",female,0.7,69,senior,ET,"Ethiopia",0.71,2026-04-30T08:33:30.833Z
